Package Name,Language,Date,Reviewer Name,Review title,Review,Rating,Review category
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,Lydia Wheeler,love this game,"Solitaire ; Unblock me were getting so old I need a game with a challenge. This game is awesome. Not easy but fun and a little addictive.....lol well,  I  can't stop playing it.",5,u
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,CHRISTINA M TAVELLA,fun fun,Pop ups are annoying... in between each game... no audios.. could use some work. Concept is alot of  fun though.,3,bu
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,Swarnali Hait,,best one!,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,Caralyn Wernham,fun game,really fun but too many advert,3,u
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,wilfACA Agency,,for an thavidiya version,1,f
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,Hemsuta Dharmshaktu,awsm,I like it.  Real time pass game.,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,Bhavya Sutwala,addictive game,nice time pass but very addictive,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,David Burks,,great puzzle,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,Carolyn Baylosis,,nice app,4,u
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,Marc Bolton,nice,good time killer,3,u
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,Matilda Garcia,super awesome,its a really good time passer.i love this game.,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,Steve Platt,great game!,"very challenging to say the least. can do without ads, but it' a free game. not complain at all. a must play for number logic fans. sometimes the simplest premise will give you the funnest times. also i read in other reviews that this game be unplayable due to ads...they must have scale it down because i'm only see them after game over.",4,bu
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,Vinodkumar Kabadagi,,good for older version,3,u
game2048.b2048game.twozerofoureight2048.game,English,8/6/2016,vrinda Saraf,amzing game,love it i cant stop once started...my highscore be 698332,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/5/2016,Tyla Mathers,,a nice simple(ish) game to pass the time. 5 star be of you have the option of a bigger board or what colour the tile are. that would be nice.,4,fu
game2048.b2048game.twozerofoureight2048.game,English,8/5/2016,Scott Rutherford,champ of a game,fun puzzling game to play while wait,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/5/2016,mihai moraru,,great game :),5,u
game2048.b2048game.twozerofoureight2048.game,English,8/5/2016,Vijender Saini,super,time pass,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/5/2016,Yogambal Ramani,it s cool..,i like it but there can be more space,3,fu
game2048.b2048game.twozerofoureight2048.game,English,8/5/2016,Monica Utkarsh,amazing,i love this game,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/5/2016,Govind Gupta,,very good fame,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/5/2016,ieng huy,like,game,3,u
game2048.b2048game.twozerofoureight2048.game,English,8/5/2016,Kawaiidonut Suit,great time consumer,good brain workout whenever i'm wait around,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/5/2016,Amy Hare,poor display,"poor display, frustration with ad that pop up whole playing instead of just in etween game",2,b
game2048.b2048game.twozerofoureight2048.game,English,8/5/2016,Tiarra Willis,too many ads!,"like the game, hate how the ad pop up before you play, after and during the game to.",3,bu
game2048.b2048game.twozerofoureight2048.game,English,8/5/2016,A Google User,like,"Entertaining, simple,  and easy to mess yourself up",4,u
game2048.b2048game.twozerofoureight2048.game,English,8/5/2016,Camilla Brandel,,i really like this game.,4,u
game2048.b2048game.twozerofoureight2048.game,English,8/5/2016,DJ Tigerboy,loved it,wow,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/5/2016,Vivien Clayton,addicting,have to go further,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/4/2016,Hamed Hassani,,:-),4,u
game2048.b2048game.twozerofoureight2048.game,English,8/4/2016,Sumu Bose,interesting but ads,add other level please.,5,f
game2048.b2048game.twozerofoureight2048.game,English,8/4/2016,vipinkumar bhagat,like it,not bad,4,u
game2048.b2048game.twozerofoureight2048.game,English,8/4/2016,Adam Nale,,addicting!,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/4/2016,MAHONNATH VELPULA,,add too often,4,b
game2048.b2048game.twozerofoureight2048.game,English,8/4/2016,Tammy Amaker,great game,keep you occupy for hour,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/4/2016,khalid shereif,,drink stupidly great,5,s
game2048.b2048game.twozerofoureight2048.game,English,8/4/2016,RaKesh Wani,,super,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/4/2016,Eli Kerns,fun,i spend hour on this,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/4/2016,Kris Ky Lopez,,nice game,3,u
game2048.b2048game.twozerofoureight2048.game,English,8/4/2016,Smita Patel,amazing,love it,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/9/2016,Brittany Baruch,entertaining,love this game it entertain my mind for hours.,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Rob Ellis,very addictive,Absolutely love this gam.  Ads are very intrusive.  Ditch the ads and offer an ad free version. I will buy it for sure.,5,fu
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Richa Karana,awesome game!!,quiet a game to pass the time..,4,u
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Sridevi Simhadri,,super,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Cleeven Hjardemaal,,it's great,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Roger Dsouza,good,nice app,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,János Pintér,many ads but nice,the game be simple yet challenge at times. there be one exploit that can make it too easy but all in all it' fine.,4,bu
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Shrikant Lokhande,,inresting,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Jamie Kemp,,challenge,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Adrianne Hall,love it.,"works well, simple, fun.",5,u
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Matthew Norris,good time waster,a good way to waste time when you do want to get into anything serious,4,u
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Lyannie Rodriguez,love it,"endless fun!! great exercise for your brain, wish it have less add",5,bu
game2048.b2048game.twozerofoureight2048.game,English,8/9/2016,Zafirah Yusof,,💗,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/9/2016,Jill van Rensburg,2048,too many add,3,b
game2048.b2048game.twozerofoureight2048.game,English,8/9/2016,Nida Ansari,,love it,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/9/2016,andrew vizcarra,fu,fun,3,u
game2048.b2048game.twozerofoureight2048.game,English,8/9/2016,Brittany Baruch,entertaining,love this game it entertain my mind for hours.,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Rob Ellis,very addictive,Absolutely love this gam.  Ads are very intrusive.  Ditch the ads and offer an ad free version. I will buy it for sure.,5,bu
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Richa Karana,awesome game!!,quiet a game to pass the time..,4,u
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Sridevi Simhadri,,super,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Cleeven Hjardemaal,,it's great,5,u
game2048.b2048game.twozerofoureight2048.game,English,8/8/2016,Roger Dsouza,good,nice app,5,u
com.spotify.music,English,8/5/2016,Razvan T,comprehensive but simple,all in one music app. really there's no point in used anything else if you have the paid version of this. good job you guys/gals.,5,u
com.spotify.music,English,8/5/2016,dillon crowe,good can not find some older songs,would like ability to move a song up or down in play list. would like to be able to add song local to my device to a play list. over all find most of what i be look for and be awesome for alexa users...,4,fu
com.spotify.music,English,8/5/2016,Jamie Nealey,love it,easy to use,5,u
com.spotify.music,English,8/5/2016,Janelle Atwell,bad changes,used to love this app. not it' full of commercial and like everyone else it now force you pay a subscription fee. very disappointed,2,bu
com.spotify.music,English,8/5/2016,라나 M,cool but,i really hope there's the lyric so we can sing along,5,f
com.spotify.music,English,8/5/2016,Cindybirung Formoso,top,beautiful,3,u
com.spotify.music,English,8/5/2016,Samantha Wiancko,so good,love it,5,u
com.spotify.music,English,8/5/2016,Kayla-Kanai Lewis,finally! all the song on one,the best app that as access to over million if sign and i love it,5,u
com.spotify.music,English,8/5/2016,Ryan McDonald,ear candy,love the access to all kind of music whenever i want,5,u
com.spotify.music,English,8/5/2016,Salvador Armendariz,good service buggy phone,increasingly slow to load.,3,b
com.spotify.music,English,8/5/2016,Ali Essam,,best music streaming service,5,u
com.spotify.music,English,8/5/2016,Dave Johnson,should have bought it sooner!,"only thing i'd add (unless it' already there and i'm just be thick) be stream live radio, other than that... love it :)",5,fu
com.spotify.music,English,8/5/2016,Chaconia Marshall,spotify,i love the option and punctuality,5,u
com.spotify.music,English,8/5/2016,Lieutenant Beukes,,i wish you do need premium for it.,2,f
com.spotify.music,English,8/5/2016,Matthew Kennedy,,good selection of music,4,u
com.spotify.music,English,8/5/2016,Salini Gowry,spotify,i like how awesome it be,5,u
com.spotify.music,English,8/5/2016,Susan Haill,spotify,i love this app because i can listen to the music that i choose and just sit there for hour listen to it,5,u
com.spotify.music,English,8/5/2016,Raymond Vicky Byrd,awesome,used it for years...love it!!!,5,u
com.spotify.music,English,8/5/2016,A Google User,,"everytime i try to play my playlist, it play another song. and it will play one song after another from my playlist.",1,b
com.spotify.music,English,8/5/2016,Masharey Preston,,awesome!!!,5,u
com.spotify.music,English,8/5/2016,Jake Shamash,,best app.,5,u
com.spotify.music,English,8/5/2016,elcris pascua,,nice premium,5,u
com.spotify.music,English,8/5/2016,Deborah Figueroa,spotify,musical application,5,s
com.spotify.music,English,8/5/2016,Mark Peduzie,unreliable,"Subscribed  to premium but will be asking for refund.  Downloaded tracks so I could use in Canada for a 4 week holiday where there is no tv. After 1 or 2 songs the song  just  stops,  even with WiFi on.  The kids are screeming at me dad im bored  and yes it has been rebooted several times  and updated to the lastest addition.  Completely useless.  Can I  port my playlists elsewhere?",1,bu
com.spotify.music,English,8/5/2016,CliffySilver 66,,**** ads get rid of them,3,b
com.spotify.music,English,8/5/2016,Chai Williams,😍,i love it i have the best music and its easy to use,5,u
com.spotify.music,English,8/5/2016,Kristina Lenkova,my favorite for music,"Use this app about an year, it's great!  Especially like music for run. Now get a premium, still can not download album, but I guess that problem is in the phone.",5,bu
com.spotify.music,English,8/5/2016,Ong Ken Shing,,best app ever,5,u
com.spotify.music,English,8/5/2016,Patricia Sweeden,cool,cool,5,u
com.spotify.music,English,8/5/2016,Riehanna Lumaan,i lab it,please make it freee,5,f
com.spotify.music,English,8/5/2016,Shynal Sharan,love it!,great app for stream on long drife and great recommended song dependant on your music playlists! well worth try spotify premium,5,u
com.spotify.music,English,8/5/2016,Sun Storm,,love it! just please update the ps4 app,5,u
com.spotify.music,English,8/5/2016,Bernard the beast,,gay,5,u
com.spotify.music,English,8/5/2016,Sarah Grace,,great music app ever!,5,u
com.spotify.music,English,8/5/2016,austinBLUE BEETLE,best music,"it's very easy to use, it have most song that i want, and i put them into my personal library! it's even better with premium.",5,u
com.spotify.music,English,8/5/2016,Richard James,awesome,easy to use. a massive choice of music. few ad every now and then but its a minor. plus if you pay its rid of them and let you download the song,5,bu
com.spotify.music,English,8/5/2016,Kayshaunna Wesley,best music,great for party and just listening to music,5,u
com.spotify.music,English,8/5/2016,Justin Whiteken,,the best music app,5,u
com.spotify.music,English,8/5/2016,Ian Argall,groovy,works.,5,u
com.spotify.music,English,8/5/2016,Awesomekiller,the best!!!,i can listen to music when i need it...,5,u
com.spotify.music,English,8/5/2016,Terry Teel,spotify,hot tune music on fire this be what u need bounce 2 the beat awesome app ?,5,u
com.spotify.music,English,8/5/2016,Antonio Esteban,easy to use for music,they have everything and get my friend musoc notice,5,u
com.spotify.music,English,8/5/2016,Ryl Hafeez,tq,pay for my music,5,s
com.spotify.music,English,8/5/2016,Olivia Sepe,,its so amazing i love it,5,u
com.spotify.music,English,8/5/2016,Mark Anthony Mislang,,no music app can beat spotify! the best!,5,u
com.spotify.music,English,8/5/2016,A Google User,jojo,i like it but it really suck,5,u
com.spotify.music,English,8/5/2016,Lenel Joshua,,can you please expand your trial version for 1 month and make it for free....,5,f
com.spotify.music,English,8/5/2016,Chukie Abuloc,,love the offline mode,5,u
com.spotify.music,English,8/5/2016,Sean Browne,hits the mark,spotify be spot-on!!,5,u
com.spotify.music,English,8/5/2016,Connor Mello,love it!!!,easy to use and great variety of music,5,u
com.spotify.music,English,8/5/2016,metroboomin gaming,,need to get new album keep up with apple music,4,u
com.spotify.music,English,8/5/2016,Jay Mendez,nicee,easy to use and nice,5,u
com.spotify.music,English,8/5/2016,Julie Gray,spotify ;gt; pandora,absolutely love it. it make me laugh that we all used to have to deal with limewire.,5,u
com.spotify.music,English,8/5/2016,Jerry Castelli,,"...been a premium subscriber for quite some time, great app but it still have a lag problem. it will also drop out during playback from time to time.",4,bu
com.spotify.music,English,8/5/2016,michael fink,g d afjhg,gsf g n,5,s
com.spotify.music,English,8/5/2016,Ruben Rios,has gotten better . love it,administration please fix this latest update. i can play a few song and all of a sudden it turn itself off since i update,5,b
com.spotify.music,English,8/5/2016,Nicole Robinson,j adore,"Wish i could afford premium...but even without it brilliant, love it had no problems, 👌💪",5,u
com.spotify.music,English,8/5/2016,Vic Zixty,okay,but great,5,u
com.spotify.music,English,8/5/2016,Nathalie Pierre Louis,spotify,nice,5,u
com.spotify.music,English,8/5/2016,Daniel Jonas,better than sound cloud,i have be used soundcloud for the longest when my friend tell me about this app i download it and unlile soundcloud u can repeat my playlist by a click of a button,5,u
com.spotify.music,English,8/5/2016,Eduardo Lopez,,i love it,5,u
com.spotify.music,English,8/5/2016,Mayo Omotoye,if only,if only it be free again,5,f
com.spotify.music,English,8/5/2016,Ethan Koren,loved it,it's just good,5,u
com.spotify.music,English,8/5/2016,Jamie Cruise,pfft,it's nothing special as a free service. great if you pay. no control of movement in the playlist,3,bu
com.spotify.music,English,8/5/2016,Javier Masquida,music to your ear s🎧,the best music app out there just so simple to use and a ton of music,5,u
com.spotify.music,English,8/5/2016,Olivia Repuya,good but..,"The app is good,  but the app should let the users get free vip",5,u
com.spotify.music,English,8/5/2016,Adib Ilyas,nothing 2 say,But this app is 👍,5,u
com.spotify.music,English,8/5/2016,Gianni Heredia,,amazing app,5,u
com.spotify.music,English,8/5/2016,Genesis Ellis,great !,love it,5,u
com.spotify.music,English,8/5/2016,Tanner Wuchner,good,good,4,u
com.spotify.music,English,8/5/2016,Richard Evans,excellent,very good extensive music catalogue and love the 'spotify sessions'!,4,u
com.spotify.music,English,8/5/2016,David Lilley,,still need a playlist de-duplicate feature,4,f
com.spotify.music,English,8/5/2016,Noemie Francisco,,Love it.. all the songs I used to listen to back in the day you can find it on here... 😊 so worth the money,5,u
com.spotify.music,English,8/5/2016,Radoslav Donev,,"i'm sick of you guy take feature off spotify, you're suppose to be add them instead. what' the point in pay for premium anymore? you even take off the notification feature, how basic be this? huge disappointment!!",1,fu
com.spotify.music,English,8/5/2016,Adam Manjarres,,cool.,5,u
com.spotify.music,English,8/5/2016,Kylie Rico,😛😛😛😛,byuk u nok,5,s
com.spotify.music,English,8/5/2016,Jemima Lopez,sound,the new update be kind of irritating because when i play a song there's no sound but the music be playing.it will only start to play if i move a few second into the song. please fix this.,1,b
com.spotify.music,English,8/5/2016,Rory Breach,,excellent podcast,5,u
com.spotify.music,English,8/5/2016,Luis Montalvo,,grat music app,5,u
com.spotify.music,English,8/5/2016,Marilou Clata,i loved it,i rlly love it great music's,5,u
com.spotify.music,English,8/5/2016,Danny Yeung,awesome,best thing in my life,5,u
com.spotify.music,English,8/5/2016,Liander Millan,lmillan,amazing app!!!!,5,u
com.spotify.music,English,8/5/2016,Dran Signe,best,please have more discount,5,f
com.spotify.music,English,8/5/2016,Shawn Malana Parker,,love it but always get kick off by daughter and her friends.,5,u
com.spotify.music,English,8/5/2016,Jose Alavez,,best music app,5,u
com.spotify.music,English,8/5/2016,Stacy Brown,,Spotify kicks a**! 😎,5,u
com.spotify.music,English,8/5/2016,Jamyle Madison,extraordinary!!!!!😋,"i have spotify on every single device i have in my home, i've be with spotify for three years, and i have be disappoint once.",5,u
com.spotify.music,English,8/5/2016,Karla Lainez,constantly improving,every version get better and faster. i be affect by a bug of an old version but as soon as i report it i receive an email apoligizing and in less than a week a new version be available.,5,u
com.spotify.music,English,8/5/2016,Katie Matherne,katie,i love spotify,5,u
com.spotify.music,English,8/5/2016,isis perez,cool,i like this app very much,5,u
com.spotify.music,English,8/5/2016,hay hog. A,my. stuff.  music.,be it. so wrong.,5,u
com.spotify.music,English,8/5/2016,Daniel Wei,,Good no break up . except for commercials 😚,5,bu
com.spotify.music,English,8/5/2016,Julia Cross,,i love it,5,u
com.spotify.music,English,8/5/2016,Vivienne O'Connor,brilliant,work perfect and make walking a whole lot better be able to listen to music.,5,u
com.spotify.music,English,8/5/2016,Andrew Redwood,awesome,i like this music app. great music to create a vibe,5,u
com.spotify.music,English,8/5/2016,Δημήτρης Χιώτης,,not good enough... i want to play just one song that i have just find and i have to wait until the shuffle decide to play it... many time (almost every time) it doesnt even play the song... i think this be a free stream music app where you can freely listen to music... but nope what i have to do everytime be to get angry with this .......... because i cant listen to just one song!!! btw why you have to charge only on smartphone with this feature???,2,bu
com.spotify.music,English,8/5/2016,Ratri Anggardani Prayitno,,great app. it'd be greater if you can add lyric in it.,4,fu
com.spotify.music,English,8/5/2016,Dylan Sarrasin,great,If you download more that 10 songs a month it pays for itself. Great app. Giving it 4 stars because no  taylor swift,4,bu
com.spotify.music,English,8/5/2016,Alan Tino,easy,love it,5,u
com.spotify.music,English,8/5/2016,Christian Canals,easy and great quality,fuks with them heavy,5,u
com.spotify.music,English,8/5/2016,Gibran Vigil,best music ever!,still worth every penny i spend on it.,5,u
com.spotify.music,English,8/5/2016,Chief_Crab//CrazyMan199123 ROBLOX,plss,make all music offline plsss ;(,2,b
com.spotify.music,English,8/5/2016,ROCKNIE ALBINO ETE,spotify..,the great spot of music....anything anywhere.....excellent!!!!,5,u
com.spotify.music,English,8/5/2016,Marvin Talad,very good,i love this app,5,u
com.spotify.music,English,8/5/2016,SV Kurunandha,best scope in the market,compare to google music which be also not bad spotify excel in scope; it continuously bring me in touch with new artist in the genre i'm interested in,5,u
com.spotify.music,English,8/5/2016,jacob vaira,better than,"Really like the layout. Only gripe I have is I would like to be able to listen all day without hearing the same song repeatedly.  And, Without having to go to another category.",4,u
com.spotify.music,English,8/5/2016,gareth watts,good .,"good app interface and very reliable service. however the app do not sync to what have be played/save on other device and vice versa, which be really very annoying as it mean search for each track/album you have on your account on another device and saving them. please can you sort this out spotify.",3,bu
com.spotify.music,English,8/5/2016,Eric Pell,legit,there' a few song i can find but overall it' easy to use and have a great variety to browse from. i also find a lot of older stuff i used to hear on an old rock radio station that get buy out.,5,u
com.spotify.music,English,8/5/2016,Kristelle Roxas,i liked it but,Why do i have to pay?😭😭im just a 12 years old and i already have to pay?,4,bu
com.spotify.music,English,8/5/2016,Juan L Cardenas,good👍😉,For play music free is good👍,5,u
com.spotify.music,English,8/5/2016,Richard Osborne,good,i do like the notification about spotify premium,4,b
com.spotify.music,English,8/5/2016,Caith Denize,android look,"i hope that they will change the look for select songs. same look for io phones, because it' easier to manipulate. all the selection be in the bottom line.",4,bu
com.spotify.music,English,8/5/2016,Bill k,suggested songs 👎,what be this pandora? if i do want a playlist of my choosing i would listen to pandora. overpriced membership. money rule the world and apparently my playlist.,1,bu
com.spotify.music,English,8/5/2016,Myles Frazier,awesome,still wish you do have to pay for premium,5,fu
com.spotify.music,English,8/5/2016,C Rivers,better than pandora,sooooooo much better than that crap on pandora,5,u
com.spotify.music,English,8/5/2016,Shirley Sinclair,,nice,5,u
com.spotify.music,English,8/5/2016,Dori Shea-Blymyer,beats pandora,love find new playlists:),5,u
com.spotify.music,English,8/5/2016,Lance Ribbon,spotify,non stop fun!,5,u
com.spotify.music,English,8/5/2016,Jason Glass,favorite,i love spotify and use it daily. the app be excellent but a few minor tweak can make it perfect!,5,u
com.spotify.music,English,8/5/2016,Harold Junn Salvacion,nice,now i can listen my favorite song.. tnx spotify..,5,u
com.spotify.music,English,8/5/2016,Leonardo Fuentes,fantastic,Work every. 🕙,5,u
com.spotify.music,English,8/5/2016,Tom Gordon,,make my day,5,u
com.spotify.music,English,8/5/2016,Rachelle Pitcher,,i love spotify. only thing that can make it better be to have it be cheaper.,5,fu
com.spotify.music,English,8/5/2016,Graham Driver,,supply the music you need to hear.,4,u
com.spotify.music,English,8/5/2016,Cerullo Damanik,,🙌🙌🙌🙌,5,u
com.spotify.music,English,8/5/2016,Jamie Baker,,premium be amazing but price a bit steep,5,bu
com.spotify.music,English,8/5/2016,Eduardo De Jesus,rey valeras hit songs,so good,5,u
com.spotify.music,English,8/5/2016,Jason Howe,,best music service period.,5,u
com.spotify.music,English,8/5/2016,Luke Brownlee,fantastic,brilliant app for music i wish i'd of joined earlier,5,u
com.spotify.music,English,8/5/2016,Daniel Herrera,muy buena,muy buena,5,s
com.spotify.music,English,8/5/2016,Rui Guerra,lyrics,there be option to see the lyric of music.,4,fu
com.spotify.music,English,8/5/2016,teng lopez,,i love it,5,u
com.spotify.music,English,8/5/2016,Carly Earwood,fave in the world,spotify be my go to for any music and have introduce me to so many amazing artist and bands...,5,u
com.spotify.music,English,8/5/2016,Adam Mc Dermott,subscription issues,"i love the app itself, love how everything be layer out and the simplicity of it, however every month renew the premium subscription be a nightmare.. take too long but this month i receive a text say my premium subscription have be activated a week ago but i'm not allow use any of the premium features...",2,bu
com.spotify.music,English,8/5/2016,BoxFacedGamer,,it's alright but i do want to pay monthly just to not get suggest song play 24/7. i what to listen to a song and i click it and another song plays.,3,bu
com.spotify.music,English,8/5/2016,James Watson,,love it,5,u
com.spotify.music,English,8/5/2016,John Hart,john hart,excellent app and easy to use. customer support be outstanding,5,u
com.spotify.music,English,8/5/2016,Samuel Johansson,great with a great service.,an app that have a ton off music for a monthly cost,5,u
com.spotify.music,English,8/5/2016,Barcenas Alexander,hated it,hate it because i can confirm my facebook account,1,bu
com.spotify.music,English,8/5/2016,Rafael Suasi,awesome music s,botomless jukebox!,5,u
com.spotify.music,English,8/5/2016,Garrie Russell,,love this app,5,u
com.spotify.music,English,8/5/2016,burak aztk,her update sıkıntılı geliyor,Bu seferde durduk yere kapatıyor kendini,2,s
com.spotify.music,English,8/5/2016,Steven Bruner,,just awsome,5,u
com.spotify.music,English,8/5/2016,Δημήτρης Χιώτης,,not good enough... i want to play just one song that i have just find and i have to wait until the shuffle decide to play it... many time (almost every time) it doesnt even play the song... i think this be a free stream music app where you can freely listen to music... but nope what i have to do everytime be to get angry with this **** because i cant listen to just one song!!! btw why this be happen only on smartphones???,1,bu
com.spotify.music,English,8/5/2016,David hughes,,love it!!!,5,u
com.spotify.music,English,8/5/2016,Alexander Maier,does not work properly,"stops playback, when i lock my tablet screen or minimize spotify. works only when maximized. i'll change my rating when this be fixed.",1,b
com.spotify.music,English,8/5/2016,Chloe Palomo,,the best music app out there,5,u
com.spotify.music,English,8/5/2016,Angel Cruz,sorry,"i have to rate it poorly because no song be play at all,one day it be ok and the next it doesnt work,i even make a new account and it still do not work,it keep showing update to spotify premium and i cant stop it!please reply",1,bu
com.spotify.music,English,8/5/2016,Jhoven Mendoza,,i love it,5,u
com.spotify.music,English,8/5/2016,Kurt Richter,kurt richter,rock on!,5,u
com.spotify.music,English,8/5/2016,Ethan Kotte,awesome,"best music app, that' all that be need",5,u
com.spotify.music,English,8/5/2016,Declan Morrow,blows everything else out the water,nothing can compete with spotify for price or music coverage.,4,u
com.spotify.music,English,8/5/2016,Rhys Cottle,does what it says on the box,let' you listen to a huge database of music for free. a few ad here and there be too unbearable.,5,u
com.spotify.music,English,8/5/2016,Rosie Reynolds,spotify,i.really love spotify i use it all the time,5,u
com.spotify.music,English,8/5/2016,Samuel Vroom,spotify,wonderful!,5,u
com.spotify.music,English,8/5/2016,Camilo Rodriguez,amazing,it have lot of song,5,u
